,title,link,time
0,"[광주소식] 경제자유구역청, '월드 IT 쇼 2024' 참가",https://www.yna.co.kr/view/AKR20240416053400054&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQICBAC&usg=AOvVaw2GPtzd0CjvXySv19DmQ7MH,6시간 전
1,"세종네트웍스, 월드IT쇼서 'AI 콜봇' 데모 버전 시연",https://m.news1.kr/articles/%3F5386423%2626&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQICRAC&usg=AOvVaw2RFbdBfli-WMN3XzwjCz2E,2시간 전
2,매일경제,https://m.mk.co.kr/news/&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQIABAC&usg=AOvVaw0bjZoWjO1tyIizZggwBpdN,8시간 전
3,21대 국회 한달 남았는데…IT 주요 법안 폐기 위기,https://www.ajunews.com/view/20240416144635288&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQIAhAC&usg=AOvVaw071DLtCJ19XzuNueubnYcN,57분 전
4,지란지교데이터 보안솔루션 ‘파라솔’로 리브랜딩 - 조선비즈,https://biz.chosun.com/it-science/ict/2024/04/16/VODP4L3SHRFRDHNGEEBW6GTWGA/&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQIBRAC&usg=AOvVaw2jnhCREB7wyLB8uAWcYOtP,5시간 전
5,KISA ‘2024 블록체인 밋업(Meetup) 콘퍼런스’ 개최,http://www.nkeconomy.com/news/articleView.html%3Fidxno%3D13204&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQIBBAC&usg=AOvVaw24_zMIs40S47ChFTxNgorw,4시간 전
6,민·관 참여 바이오·헬스 데이터플랫폼 협의체 출범,https://www.gttkorea.com/news/articleView.html%3Fidxno%3D9964&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQIBhAC&usg=AOvVaw2EuubR7Kt5O1jyOjIWz_Hj,4시간 전
7,"리빌더AI, 도쿄 IT WEEK·월드 IT 쇼에서 3D 생성 AI 솔루션 선보여",http://www.datanet.co.kr/news/articleView.html%3Fidxno%3D192692&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQIARAC&usg=AOvVaw1GNRzVvCprhOXJvu5zHtbu,6시간 전
8,'LG 씽큐' 앱 업그레이드...1980년대 가전제품도 관리 가능,http://www.newsroad.co.kr/news/articleView.html%3Fidxno%3D28530&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQIBxAC&usg=AOvVaw2XCu6peZ7xv67rYdyMy1aO,4시간 전
9,"샤크닌자, 16일 네이버 인기 쇼핑라이브 채널 '핫IT슈' 참여... 쌍방향 소통으로 고객 접점 강화",http://m.newstap.co.kr/news/articleView.html%3Fidxno%3D215673&sa=U&ved=2ahUKEwjR4_fcmcaFAxXorlYBHdTBChgQxfQBegQIAxAC&usg=AOvVaw3nS3xubd912ZdvClhLoB1L,6시간 전
10,[TECH한주] 종이를 넘어 스마트 제조로...한솔PNS,https://www.epnc.co.kr/news/articleView.html%3Fidxno%3D300257&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgCEAI&usg=AOvVaw1vGWr85ke641k4OaETiqZl,8시간 전
11,지란지교데이터 보안솔루션 ‘파라솔’로 리브랜딩 - 조선비즈,https://biz.chosun.com/it-science/ict/2024/04/16/VODP4L3SHRFRDHNGEEBW6GTWGA/&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgJEAI&usg=AOvVaw2wfpEBbgDGMeAk3bfILU4t,5시간 전
12,광주경자청 17~19일 '월드 IT쇼 2024'서 홍보관 운영,https://www.news1.kr/articles/%3F5386055&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgIEAI&usg=AOvVaw2Dh-On64dzswsMPa-75m1W,6시간 전
13,"KISA, ‘2024 블록체인 밋업 콘퍼런스’ 개최",https://www.gttkorea.com/news/articleView.html%3Fidxno%3D9966&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgDEAI&usg=AOvVaw2oVWi8KBB3mtemqCz8aOyp,4시간 전
14,머스크 “X 신규 계정에 이용료 부과…봇 공격 차단 위해” - 조선비즈,https://biz.chosun.com/it-science/ict/2024/04/16/47C4TYCHVNASZNLENTQ25FBHLU/&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgBEAI&usg=AOvVaw2t4ITOZbXqszlX-e1aTp0Z,5시간 전
15,"마이크로칩, 뉴로닉스 AI 랩스 인수",https://www.gttkorea.com/news/articleView.html%3Fidxno%3D9963&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgAEAI&usg=AOvVaw0tHHafqS7SjWa57Su66aa8,5시간 전
16,"IBM, 두산디지털이노베이션 ‘운영기술 보안 시스템’ 구축 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/16/NUT6Q3GTHRAUXBUIABP2XZLSPM/&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgHEAI&usg=AOvVaw18x-ZNAnbWnSwBvgxAoPYh,6시간 전
17,"메가존클라우드, 피앤피시큐어와 보안 솔루션 협력 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/16/2K3FSQQH75C7ZMVCV333SJYIDU/&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgGEAI&usg=AOvVaw2RLnWqfyHm8r62vIz65Cob,6시간 전
18,"LG CNS, 기업용 생성형 AI 플랫폼 전면 고도화 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/16/QFKF372MY5AUNLHV46BQ335TYM/&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgEEAI&usg=AOvVaw3gQYG1Oq8PztQ8pK96BEk6,6시간 전
19,"카카오엔터프라이즈, ‘다이소’에 AI 컨택센터 구축 완료 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/16/A2UEMGBVJBCR3ODT4PU7N5YIIQ/&sa=U&ved=2ahUKEwilwNfemcaFAxXUQ_UHHYqRDW04ChDF9AF6BAgFEAI&usg=AOvVaw1xbgO2qPsbEnV3t34C0giB,6시간 전
20,"'AICT로 달라지는 일상 속의 변화는? ... KT, 차세대 혁신기술 선봬",https://www.imsn.kr/news/articleView.html%3Fidxno%3D11875&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgIEAI&usg=AOvVaw21lX28f3L7lSJVg1207x78,7시간 전
21,"KT, 월드IT쇼 'WIS 2024'서 AICT 혁신 기술 전시",https://www.newsworks.co.kr/news/articleView.html%3Fidxno%3D750118&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgJEAI&usg=AOvVaw08rJSzL647oG_bNbFng093,3시간 전
22,"LG CNS, ‘DAP GenAI 플랫폼’으로 기업 AI 도입 고민 해결",https://www.newsquest.co.kr/news/articleView.html%3Fidxno%3D221710&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgGEAI&usg=AOvVaw2UTzT9dKSV3oNFh-YpPES-,8시간 전
23,"SK C&C, 화성 수출기업 ESG 경영컨설팅 사업자로 선정",http://www.economytalk.kr/news/articleView.html%3Fidxno%3D253871&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgAEAI&usg=AOvVaw3sRgQRxw9NrSs8w_1MNK58,6시간 전
24,"감성커피-삼성전자, IT 특화형 스마트 카페 선봬···연령별 메뉴 추천",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2115035&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgDEAI&usg=AOvVaw2BG9LeO4XoCs7uqsqIOQlq,6시간 전
25,"LG CNS, 기업용 AI 플랫폼 'DAP GenAI' 전면 고도화",http://www.1conomynews.co.kr/news/articleView.html%3Fidxno%3D28382&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgBEAI&usg=AOvVaw35JQfcWz2cR3_y1uTmEK_b,6시간 전
26,"TTA, 양자 분야 글로벌 표준화 선도",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114949&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgFEAI&usg=AOvVaw1f4bn0cYBmzUwapm_jp3MU,7시간 전
27,"삼성전자, 美서 반도체 보조금 9조원 받는다 ... 역대 세번째 규모",https://www.imsn.kr/news/articleView.html%3Fidxno%3D11873&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgHEAI&usg=AOvVaw1fvs52s-ZQ-Q86se1RvlR_,8시간 전
28,"LG CNS, ‘DAP GenAI 플랫폼’ 강화···기업용 솔루션 제시",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114941&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgEEAI&usg=AOvVaw0nsnCR6kHKn7YG0xdsqWi2,7시간 전
29,공공 부문의 IT 인재 격차 해소 전략 ‘자동화’,https://www.gttkorea.com/news/articleView.html%3Fidxno%3D9951&sa=U&ved=2ahUKEwidj7XgmcaFAxW3m68BHcS4BVs4FBDF9AF6BAgCEAI&usg=AOvVaw0gElt3ZJaS3vuYzATOU9hM,16시간 전
30,"티지, 아프리카 시장 공략 본격화…보츠와나 정부 대규모 IT사업 수주",https://news.nate.com/view/20240415n33569%3Fmid%3Dn0100&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgDEAI&usg=AOvVaw32wl3K34O8o6oNGVy1zlUL,22시간 전
31,사상 최대 규모의 ‘3차원 우주 지도’ 공개…“우주의 기원까지 밝힐 것”,https://www.donga.com/news/It/article/all/20240415/124486947/1&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgJEAI&usg=AOvVaw3no4R87scxU5NuiIj77l98,24시간 전
32,"투비소프트, 대입전형 지원시스템 턴키 사업 수주 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/BUTLKNVWRNAZLH5RU3ZSNGOMUQ/&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgEEAI&usg=AOvVaw1Dxcs7UhC4vcdkHzpmBevc,24시간 전
33,"방심위, 윤 대통령 발언 자막 논란 MBC에 과징금 3000만원 의결 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/BM7XHVG3RZFRLCEGNSRWJBB4PU/&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgCEAI&usg=AOvVaw0QbRhC93pVMxuj5cuWqgS0,23시간 전
34,"KTC, 中 심천시험소 IT·AV CBTL 지정 '초읽기'…중국 수출지원 확대",http://www.kns.tv/news/articleView.html%3Fidxno%3D892996&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgAEAI&usg=AOvVaw3kPnhM-6QJoPskO5EwZkc0,19시간 전
35,"3월 ICT 수출 전년비 14.9%↑···반도체, 23개월만에 최대",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114770&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgBEAI&usg=AOvVaw1g1D4osNC73jtfqlZGlNoo,23시간 전
36,"KCA, 2024년 제1회 정보통신기술사 최종합격자 발표",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114732&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgFEAI&usg=AOvVaw1GlLv3qaXCZTjFbtxqL6vt,24시간 전
37,들쭉날쭉 R&D 예산 손본다…'총예산 5% 이상' 법제화 추진[포스트 총선 IT정책 방향 트나 (3)],https://news.zum.com/articles/90039425&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgGEAI&usg=AOvVaw2hp9PxOdvyc61Uu-w_cvyZ,22시간 전
38,"""日, 구글 '독점금지법 위반' 첫 행정처분 방침…야후에 갑질"" - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/16/LFLSGVEOPZEI7J54IN774QVVGM/&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgHEAI&usg=AOvVaw09lmzqirr4Zuq8nGP590Th,49분 전
39,SEMI “지난해 세계 반도체 장비투자액 7% 감소” - 조선비즈,https://biz.chosun.com/it-science/ict/2024/04/16/FDCQWO4EWJDKXJA4AKGGJZB5HM/&sa=U&ved=2ahUKEwjNzKTimcaFAxV7nq8BHfEICuA4HhDF9AF6BAgIEAI&usg=AOvVaw3r6M5M3cLSIvdn2nxFwdrU,2시간 전
40,"우정사업본부, 한국의 옛 건축 ‘정자’ 기념우표 발행 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/16/NLFLPL7UYNCN3LQUMAGLYIED3I/&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgCEAI&usg=AOvVaw0MYMseM4lg_orTuAE39kH3,4시간 전
41,"감성커피, 평촌에 IT 특화형 스마트 카페 선보여 - 조선비즈",https://biz.chosun.com/distribution/living/2024/04/16/3OFRY4WCHJHLXEBDW47GECS2DA/&sa=U&ved=2ahUKEwjWlYXkmcaFAxX2avUHHV5OAYs4KBDF9AF6BAgJEAI&usg=AOvVaw09_uyoK_x8_2teHgc6E1IS,7시간 전
